COMUNE,PRO_COM_T,Abitanti,Capoluogo,Sigla
Norcia,054035,4764,Perugia,PG
Paciano,054036,968,Perugia,PG
Configni,057024,568,Rieti,RI
Contigliano,057025,3886,Rieti,RI
Cottanello,057026,530,Rieti,RI
Fiamignano,057028,1259,Rieti,RI
Forano,057029,3196,Rieti,RI
Frasso Sabino,057030,723,Rieti,RI
Greccio,057031,1551,Rieti,RI
Labro,057032,363,Rieti,RI
Trequanda,052036,1219,Siena,SI
Piegaro,054040,3531,Perugia,PG
Sambuci,058094,874,Roma,RM
San Gregorio da Sassola,058095,1490,Roma,RM
San Polo dei Cavalieri,058096,2825,Roma,RM
Sant'Angelo Romano,058098,4983,Roma,RM
Sant'Oreste,058099,3650,Roma,RM
San Vito Romano,058100,3265,Roma,RM
Saracinesco,058101,172,Roma,RM
Leonessa,057033,2218,Rieti,RI
Longone Sabino,057034,555,Rieti,RI
Magliano Sabina,057035,3634,Rieti,RI
Marcetelli,057036,69,Rieti,RI
Micigliano,057037,118,Rieti,RI
Mompeo,057038,483,Rieti,RI
Montasola,057039,387,Rieti,RI
Montebuono,057040,869,Rieti,RI
Monteleone Sabino,057041,1201,Rieti,RI
Montenero Sabino,057042,279,Rieti,RI
Arcidosso,053001,4283,Grosseto,GR
Campagnatico,053002,2365,Grosseto,GR
Pietralunga,054041,2049,Perugia,PG
Poggiodomo,054042,96,Perugia,PG
Preci,054043,714,Perugia,PG
Sant'Anatolia di Narco,054045,546,Perugia,PG
Scheggia e Pascelupo,054046,1347,Perugia,PG
Tolfa,058105,4923,Roma,RM
Torrita Tiberina,058106,1070,Roma,RM
Vallepietra,058108,258,Roma,RM
Vallinfreda,058109,287,Roma,RM
Monte San Giovanni in Sabina,057043,658,Rieti,RI
Montopoli di Sabina,057044,4160,Rieti,RI
Morro Reatino,057045,352,Rieti,RI
Nespolo,057046,201,Rieti,RI
Orvinio,057047,398,Rieti,RI
Paganico Sabino,057048,157,Rieti,RI
Pescorocchiano,057049,1976,Rieti,RI
Petrella Salto,057050,1097,Rieti,RI
Poggio Bustone,057051,1973,Rieti,RI
Poggio Catino,057052,1268,Rieti,RI
Capalbio,053003,3994,Grosseto,GR
Castel del Piano,053004,4827,Grosseto,GR
Castell'Azzara,053005,1397,Grosseto,GR
Cinigiano,053007,2457,Grosseto,GR
Scheggino,054047,464,Perugia,PG
Sellano,054048,1032,Perugia,PG
Sigillo,054049,2321,Perugia,PG
Vicovaro,058112,3802,Roma,RM
Vivaro Romano,058113,163,Roma,RM
Poggio Moiano,057054,2811,Rieti,RI
Poggio Nativo,057055,2537,Rieti,RI
Poggio San Lorenzo,057056,517,Rieti,RI
Posta,057057,611,Rieti,RI
Pozzaglia Sabina,057058,314,Rieti,RI
Civitella Paganico,053008,3109,Grosseto,GR
Tuoro sul Trasimeno,054055,3810,Perugia,PG
Bassiano,059002,1477,Latina,LT
Campodimele,059003,597,Latina,LT
Castelforte,059004,4325,Latina,LT
Rivodutri,057060,1187,Rieti,RI
Roccantica,057061,543,Rieti,RI
Rocca Sinibalda,057062,779,Rieti,RI
Salisano,057063,518,Rieti,RI
Scandriglia,057064,3125,Rieti,RI
Selci,057065,1081,Rieti,RI
Stimigliano,057066,2317,Rieti,RI
Tarano,057067,1413,Rieti,RI
Toffia,057068,1063,Rieti,RI
Torricella in Sabina,057069,1348,Rieti,RI
Isola del Giglio,053012,1403,Grosseto,GR
Magliano in Toscana,053013,3403,Grosseto,GR
Valfabbrica,054057,3286,Perugia,PG
Vallo di Nera,054058,357,Perugia,PG
Valtopina,054059,1325,Perugia,PG
Acquasparta,055001,4611,Terni,TR
Allerona,055002,1722,Terni,TR
Alviano,055003,1428,Terni,TR
Torri in Sabina,057070,1223,Rieti,RI
Turania,057071,234,Rieti,RI
Vacone,057072,228,Rieti,RI
Varco Sabino,057073,172,Rieti,RI
Affile,058001,1463,Roma,RM
Agosta,058002,1738,Roma,RM
Allumiere,058004,3914,Roma,RM
Anticoli Corrado,058006,848,Roma,RM
Arcinazzo Romano,058008,1286,Roma,RM
Montieri,053017,1163,Grosseto,GR
Arrone,055005,2703,Terni,TR
Attigliano,055006,2012,Terni,TR
Baschi,055007,2683,Terni,TR
Calvi dell'Umbria,055008,1765,Terni,TR
Castel Giorgio,055009,2099,Terni,TR
Castel Viscardo,055010,2825,Terni,TR
Fabro,055011,2733,Terni,TR
Ferentillo,055012,1839,Terni,TR
Lenola,059012,4161,Latina,LT
Maenza,059013,3060,Latina,LT
Norma,059016,3823,Latina,LT
Arsoli,058010,1454,Roma,RM
Bellegra,058012,2800,Roma,RM
Camerata Nuova,058014,420,Roma,RM
Canale Monterano,058016,4198,Roma,RM
Canterano,058017,350,Roma,RM
Pitigliano,053019,3732,Grosseto,GR
Roccalbegna,053020,951,Grosseto,GR
Ficulle,055013,1622,Terni,TR
Giove,055014,1874,Terni,TR
Guardea,055015,1774,Terni,TR
Lugnano in Teverina,055016,1433,Terni,TR
Montecastrilli,055017,4936,Terni,TR
Montecchio,055018,1597,Terni,TR
Montefranco,055019,1298,Terni,TR
Montegabbione,055020,1157,Terni,TR
Monteleone d'Orvieto,055021,1380,Terni,TR
Ponza,059018,3396,Latina,LT
Prossedi,059020,1198,Latina,LT
Roccagorga,059021,4335,Latina,LT
Rocca Massima,059022,1115,Latina,LT
Roccasecca dei Volsci,059023,1119,Latina,LT
Capranica Prenestina,058019,322,Roma,RM
Carpineto Romano,058020,4278,Roma,RM
Casape,058021,678,Roma,RM
Castel San Pietro Romano,058025,853,Roma,RM
Cerreto Laziale,058027,1081,Roma,RM
Cervara di Roma,058028,450,Roma,RM
Santa Fiora,053022,2535,Grosseto,GR
Scansano,053023,4348,Grosseto,GR
Scarlino,053024,3904,Grosseto,GR
Seggiano,053025,990,Grosseto,GR
Faleria,056025,2089,Viterbo,VT
Farnese,056026,1436,Viterbo,VT
Gallese,056027,2728,Viterbo,VT
Gradoli,056028,1294,Viterbo,VT
Graffignano,056029,2218,Viterbo,VT
Grotte di Castro,056030,2531,Viterbo,VT
Sperlonga,059030,3236,Latina,LT
Spigno Saturnia,059031,2914,Latina,LT
Ventotene,059033,748,Latina,LT
Acquafondata,060001,274,Frosinone,FR
Acuto,060002,1882,Frosinone,FR
Ciciliano,058030,1278,Roma,RM
Cineto Romano,058031,586,Roma,RM
Civitella San Paolo,058033,2063,Roma,RM
Colonna,058035,4292,Roma,RM
Filacciano,058037,434,Roma,RM
Sorano,053026,3180,Grosseto,GR
Monterotondo Marittimo,053027,1298,Grosseto,GR
Semproniano,053028,1003,Grosseto,GR
Bettona,054003,4322,Perugia,PG
Ischia di Castro,056031,2235,Viterbo,VT
Latera,056032,798,Viterbo,VT
Lubriano,056033,896,Viterbo,VT
Marta,056034,3362,Viterbo,VT
Monte Romano,056037,1940,Viterbo,VT
Alvito,060004,2586,Frosinone,FR
Amaseno,060005,4288,Frosinone,FR
Arnara,060009,2287,Frosinone,FR
Barbara,042004,1303,Ancona,AN
Belvedere Ostrense,042005,2146,Ancona,AN
Camerata Picena,042007,2547,Ancona,AN
Castelleone di Suasa,042011,1592,Ancona,AN
Castelplanio,042012,3514,Ancona,AN
Cerreto d'Esi,042013,3544,Ancona,AN
Corinaldo,042015,4889,Ancona,AN
Roccafluvione,044064,1960,Ascoli Piceno,AP
Rotella,044065,843,Ascoli Piceno,AP
Venarotta,044073,1971,Ascoli Piceno,AP
Bagnone,045002,1788,Massa Carrara,MS
Monterchi,051024,1718,Arezzo,AR
Ortignano Raggiolo,051027,868,Arezzo,AR
Pieve Santo Stefano,051030,3060,Arezzo,AR
Sant'Agata sul Santerno,039017,2935,Ravenna,RA
Solarolo,039018,4506,Ravenna,RA
Cupramontana,042016,4485,Ancona,AN
Casola in Lunigiana,045004,994,Massa Carrara,MS
Comano,045005,690,Massa Carrara,MS
Filattiera,045006,2243,Massa Carrara,MS
Fosdinovo,045008,4750,Massa Carrara,MS
Licciana Nardi,045009,4870,Massa Carrara,MS
Bibbona,049001,3239,Livorno,LI
Campo nell'Elba,049003,4817,Livorno,LI
Capoliveri,049004,4103,Livorno,LI
Borghi,040004,2902,Forli'-Cesena,FC
Genga,042020,1699,Ancona,AN
Mergo,042024,1016,Ancona,AN
Monsano,042025,3326,Ancona,AN
Montecarotto,042026,1886,Ancona,AN
Mulazzo,045012,2333,Massa Carrara,MS
Podenzana,045013,2144,Massa Carrara,MS
Tresana,045015,1934,Massa Carrara,MS
Villafranca in Lunigiana,045016,4675,Massa Carrara,MS
Capraia Isola,049005,392,Livorno,LI
Marciana,049010,2127,Livorno,LI
Marciana Marina,049011,1952,Livorno,LI
Civitella di Romagna,040009,3719,Forli'-Cesena,FC
Dovadola,040011,1575,Forli'-Cesena,FC
Galeata,040014,2446,Forli'-Cesena,FC
Monte Roberto,042029,3068,Ancona,AN
Morro d'Alba,042031,1826,Ancona,AN
Numana,042032,3780,Ancona,AN
Offagna,042033,2039,Ancona,AN
Ostra Vetere,042036,3178,Ancona,AN
Poggio San Marcello,042037,660,Ancona,AN
Zeri,045017,1004,Massa Carrara,MS
Porto Azzurro,049013,3708,Livorno,LI
Sassetta,049019,465,Livorno,LI
Modigliana,040022,4435,Forli'-Cesena,FC
Montiano,040028,1726,Forli'-Cesena,FC
Portico e San Benedetto,040031,734,Forli'-Cesena,FC
Polverigi,042038,4607,Ancona,AN
Rosora,042040,1948,Ancona,AN
San Marcello,042041,2000,Ancona,AN
San Paolo di Jesi,042042,923,Ancona,AN
Santa Maria Nuova,042043,4109,Ancona,AN
Serra de' Conti,042046,3720,Ancona,AN
Camporgiano,046006,2106,Lucca,LU
Careggine,046008,533,Lucca,LU
Castiglione di Garfagnana,046010,1755,Lucca,LU
Suvereto,049020,3044,Livorno,LI
Rio,049021,3430,Livorno,LI
Casale Marittimo,050006,1073,Pisa,PI
Premilcuore,040033,723,Forli'-Cesena,FC
Rocca San Casciano,040036,1815,Forli'-Cesena,FC
Roncofreddo,040037,3383,Forli'-Cesena,FC
Serra San Quirico,042047,2671,Ancona,AN
Sirolo,042048,4101,Ancona,AN
Staffolo,042049,2192,Ancona,AN
Apiro,043002,2126,Macerata,MC
Appignano,043003,4121,Macerata,MC
Belforte del Chienti,043004,1852,Macerata,MC
Bolognola,043005,143,Macerata,MC
Caldarola,043006,1714,Macerata,MC
Fosciandora,046014,571,Lucca,LU
Gallicano,046015,3618,Lucca,LU
Minucciano,046019,1918,Lucca,LU
Molazzana,046020,1038,Lucca,LU
Castellina Marittima,050010,1924,Pisa,PI
Castelnuovo di Val di Cecina,050011,2166,Pisa,PI
Chianni,050012,1330,Pisa,PI
Fauglia,050014,3629,Pisa,PI
Santa Sofia,040043,4080,Forli'-Cesena,FC
Sarsina,040044,3372,Forli'-Cesena,FC
Sogliano al Rubicone,040046,3181,Forli'-Cesena,FC
Camporotondo di Fiastrone,043008,517,Macerata,MC
Castelraimondo,043009,4453,Macerata,MC
Castelsantangelo sul Nera,043010,248,Macerata,MC
Cessapalombo,043011,458,Macerata,MC
Montecarlo,046021,4372,Lucca,LU
Pescaglia,046022,3371,Lucca,LU
Piazza al Serchio,046023,2225,Lucca,LU
Pieve Fosciana,046025,2470,Lucca,LU
San Romano in Garfagnana,046027,1384,Lucca,LU
Guardistallo,050015,1216,Pisa,PI
Lajatico,050016,1303,Pisa,PI
Montecatini Val di Cecina,050019,1660,Pisa,PI
Montescudaio,050020,2133,Pisa,PI
Monteverdi Marittimo,050021,767,Pisa,PI
Orciano Pisano,050023,614,Pisa,PI
Tredozio,040049,1152,Forli'-Cesena,FC
Verghereto,040050,1784,Forli'-Cesena,FC
Acqualagna,041001,4292,Pesaro e Urbino,PU
Apecchio,041002,1787,Pesaro e Urbino,PU
Belforte all'Isauro,041005,742,Pesaro e Urbino,PU
Colmurano,043014,1219,Macerata,MC
Esanatoglia,043016,1930,Macerata,MC
Fiastra,043017,644,Macerata,MC
Fiuminata,043019,1313,Macerata,MC
Gagliole,043020,595,Macerata,MC
Gualdo,043021,762,Macerata,MC
Loro Piceno,043022,2263,Macerata,MC
Stazzema,046030,2996,Lucca,LU
Vagli Sotto,046031,877,Lucca,LU
Villa Basilica,046034,1540,Lucca,LU
Villa Collemandina,046035,1268,Lucca,LU
Fabbriche di Vergemoli,046036,799,Lucca,LU
Sillano Giuncugnano,046037,1025,Lucca,LU
Palaia,050024,4565,Pisa,PI
Peccioli,050025,4740,Pisa,PI
Borgo Pace,041006,552,Pesaro e Urbino,PU
Cantiano,041008,2128,Pesaro e Urbino,PU
Carpegna,041009,1649,Pesaro e Urbino,PU
Mogliano,043025,4485,Macerata,MC
Monte Cavallo,043027,111,Macerata,MC
Montefano,043029,3401,Macerata,MC
Montelupone,043030,3472,Macerata,MC
Marliana,047007,3155,Pistoia,PT
Riparbella,050030,1601,Pisa,PI
Panchià,022134,827,Trento,TN
Ronzo-Chienis,022135,994,Trento,TN
Peio,022136,1836,Trento,TN
Pellizzano,022137,785,Trento,TN
Pelugo,022138,402,Trento,TN
Malcesine,023045,3689,Verona,VR
Marano di Valpolicella,023046,3153,Verona,VR
Mezzane di Sotto,023047,2530,Verona,VR
Minerbe,023048,4562,Verona,VR
Montecchia di Crosara,023049,4322,Verona,VR
Follina,026027,3715,Treviso,TV
Pieve Tesino,022142,637,Trento,TN
Pinzolo,022143,3041,Trento,TN
Pomarolo,022144,2468,Trento,TN
Predazzo,022147,4528,Trento,TN
Rabbi,022150,1343,Trento,TN
Nogarole Rocca,023054,3735,Verona,VR
Palù,023056,1252,Verona,VR
Pastrengo,023057,3143,Verona,VR
Pressana,023061,2516,Verona,VR
Rivoli Veronese,023062,2202,Verona,VR
Roncà,023063,3772,Verona,VR
Fregona,026030,2854,Treviso,TV
Gorgo al Monticano,026034,4065,Treviso,TV
Romeno,022155,1408,Trento,TN
Roncegno Terme,022156,2911,Trento,TN
Ronchi Valsugana,022157,457,Trento,TN
Ronzone,022159,438,Trento,TN
Roverè della Luna,022160,1645,Trento,TN
Ruffrè-Mendola,022162,407,Trento,TN
Rumo,022163,810,Trento,TN
Sagron Mis,022164,180,Trento,TN
Samone,022165,556,Trento,TN
Roverchiara,023065,2634,Verona,VR
Roveredo di Guà,023066,1597,Verona,VR
Roverè Veronese,023067,2096,Verona,VR
Salizzole,023068,3822,Verona,VR
Sanguinetto,023072,4119,Verona,VR
Meduna di Livenza,026041,2946,Treviso,TV
Miane,026042,3225,Treviso,TV
Monastier di Treviso,026044,4403,Treviso,TV
Monfumo,026045,1319,Treviso,TV
Morgano,026047,4458,Treviso,TV
Moriago della Battaglia,026048,2809,Treviso,TV
Jolanda di Savoia,038010,2753,Ferrara,FE
Lagosanto,038011,4785,Ferrara,FE
Masi Torello,038012,2300,Ferrara,FE
Perarolo di Cadore,025037,356,Belluno,BL
San Michele all'Adige,022167,3904,Trento,TN
Sant'Orsola Terme,022168,1116,Trento,TN
Sanzeno,022169,912,Trento,TN
Sarnonico,022170,796,Trento,TN
Scurelle,022171,1400,Trento,TN
Segonzano,022172,1422,Trento,TN
Sfruz,022173,372,Trento,TN
Soraga di Fassa,022176,683,Trento,TN
Sover,022177,802,Trento,TN
San Mauro di Saline,023074,572,Verona,VR
San Pietro di Morubio,023075,3030,Verona,VR
Sant'Anna d'Alfaedo,023078,2540,Verona,VR
San Zeno di Montagna,023079,1414,Verona,VR
Selva di Progno,023080,894,Verona,VR
Ormelle,026052,4492,Treviso,TV
Orsago,026053,3867,Treviso,TV
Portobuffolè,026060,750,Treviso,TV
Possagno,026061,2206,Treviso,TV
Pieve di Cadore,025039,3729,Belluno,BL
Rivamonte Agordino,025043,615,Belluno,BL
Rocca Pietore,025044,1196,Belluno,BL
San Gregorio nelle Alpi,025045,1588,Belluno,BL
San Nicolò di Comelico,025046,387,Belluno,BL
San Pietro di Cadore,025047,1583,Belluno,BL
San Tomaso Agordino,025049,612,Belluno,BL
Spiazzo,022179,1252,Trento,TN
Spormaggiore,022180,1276,Trento,TN
Sporminore,022181,700,Trento,TN
Stenico,022182,1205,Trento,TN
Storo,022183,4579,Trento,TN
Strembo,022184,592,Trento,TN
Telve,022188,1916,Trento,TN
Sorgà,023084,3005,Verona,VR
Terrazzo,023085,2150,Verona,VR
Torri del Benaco,023086,3071,Verona,VR
Tregnago,023087,4909,Verona,VR
Trevenzuolo,023088,2763,Verona,VR
Velo Veronese,023090,757,Verona,VR
Valle di Casies,021109,2325,Bolzano,BZ
Vandoies,021110,3324,Bolzano,BZ
Varna,021111,4794,Bolzano,BZ
Verano,021112,973,Bolzano,BZ
Villabassa,021113,1602,Bolzano,BZ
Santo Stefano di Cadore,025050,2474,Belluno,BL
San Vito di Cadore,025051,1929,Belluno,BL
Selva di Cadore,025054,493,Belluno,BL
Seren del Grappa,025055,2429,Belluno,BL
Sospirolo,025056,3127,Belluno,BL
Soverzene,025057,365,Belluno,BL
Telve di Sopra,022189,592,Trento,TN
Tenna,022190,1045,Trento,TN
Tenno,022191,2012,Trento,TN
Terragnolo,022193,699,Trento,TN
Terzolas,022195,642,Trento,TN
Tesero,022196,2999,Trento,TN
Tione di Trento,022199,3660,Trento,TN
Ton,022200,1310,Trento,TN
Torcegno,022202,676,Trento,TN
Vestenanova,023093,2559,Verona,VR
Zimella,023098,4865,Verona,VR
Sestino,051035,1256,Arezzo,AR
Talla,051038,999,Arezzo,AR
Monterosi,056038,4782,Viterbo,VT
Onano,056040,977,Viterbo,VT
Oriolo Romano,056041,3834,Viterbo,VT
Piansano,056043,1972,Viterbo,VT
Proceno,056044,539,Viterbo,VT
Atina,060011,4264,Frosinone,FR
Ausonia,060012,2560,Frosinone,FR
Belmonte Castello,060013,700,Frosinone,FR
Broccostella,060015,2747,Frosinone,FR
Campoli Appennino,060016,1660,Frosinone,FR
Casalattico,060017,531,Frosinone,FR
Casalvieri,060018,2581,Frosinone,FR
Buonconvento,052003,3087,Siena,SI
Bevagna,054004,4919,Perugia,PG
Campello sul Clitunno,054005,2392,Perugia,PG
Cannara,054006,4305,Perugia,PG
Cascia,054007,3068,Perugia,PG
Castel Ritaldi,054008,3156,Perugia,PG
Gavignano,058041,1922,Roma,RM
Gerano,058044,1206,Roma,RM
Gorga,058045,702,Roma,RM
Villa San Giovanni in Tuscia,056046,1264,Viterbo,VT
San Lorenzo Nuovo,056047,2072,Viterbo,VT
Tessennano,056051,306,Viterbo,VT
Casole d'Elsa,052004,3803,Siena,SI
Castellina in Chianti,052005,2807,Siena,SI
Castiglione d'Orcia,052007,2260,Siena,SI
Cetona,052008,2563,Siena,SI
Cerreto di Spoleto,054010,1012,Perugia,PG
Citerna,054011,3463,Perugia,PG
Jenne,058048,349,Roma,RM
Licenza,058051,896,Roma,RM
Magliano Romano,058052,1503,Roma,RM
Mandela,058053,911,Roma,RM
Marano Equo,058055,782,Roma,RM
Mazzano Romano,058058,3107,Roma,RM
Valentano,056053,2811,Viterbo,VT
Vallerano,056054,2516,Viterbo,VT
Vasanello,056055,3970,Viterbo,VT
Vejano,056056,2220,Viterbo,VT
Vignanello,056058,4433,Viterbo,VT
Chiusdino,052010,1845,Siena,SI
Gaiole in Chianti,052013,2635,Siena,SI
Collazzone,054014,3388,Perugia,PG
Costacciaro,054016,1143,Perugia,PG
Fossato di Vico,054019,2738,Perugia,PG
Fratta Todina,054020,1840,Perugia,PG
Monteflavio,058061,1242,Roma,RM
Montelanico,058062,2119,Roma,RM
Montorio Romano,058066,2034,Roma,RM
Moricone,058067,2524,Roma,RM
Nazzano,058069,1355,Roma,RM
Nemi,058070,1930,Roma,RM
Accumoli,057001,585,Rieti,RI
Amatrice,057002,2381,Rieti,RI
Monticiano,052018,1525,Siena,SI
Murlo,052019,2393,Siena,SI
Giano dell'Umbria,054021,3813,Perugia,PG
Lisciano Niccone,054025,600,Perugia,PG
Nerola,058071,1921,Roma,RM
Percile,058076,215,Roma,RM
Pisoniano,058077,736,Roma,RM
Poli,058078,2321,Roma,RM
Antrodoco,057003,2438,Rieti,RI
Ascrea,057004,216,Rieti,RI
Belmonte in Sabina,057005,639,Rieti,RI
Borbona,057006,603,Rieti,RI
Borgorose,057007,4374,Rieti,RI
Borgo Velino,057008,947,Rieti,RI
Cantalice,057009,2576,Rieti,RI
Cantalupo in Sabina,057010,1652,Rieti,RI
Casaprota,057011,717,Rieti,RI
Piancastagnaio,052020,4064,Siena,SI
Pienza,052021,2058,Siena,SI
Radda in Chianti,052023,1518,Siena,SI
Radicofani,052024,1073,Siena,SI
Castri di Lecce,075017,2821,Lecce,LE
Castrignano de' Greci,075018,3829,Lecce,LE
Rocca di Mezzo,066082,1434,L'Aquila,AQ
Rocca Pia,066083,180,L'Aquila,AQ
Roccaraso,066084,1604,L'Aquila,AQ
San Benedetto dei Marsi,066085,3850,L'Aquila,AQ
San Benedetto in Perillis,066086,95,L'Aquila,AQ
San Demetrio ne' Vestini,066087,1931,L'Aquila,AQ
San Pio delle Camere,066088,669,L'Aquila,AQ
Sante Marie,066089,1145,L'Aquila,AQ
Sant'Eusanio Forconese,066090,380,L'Aquila,AQ
Santo Stefano di Sessanio,066091,115,L'Aquila,AQ
Filetto,069032,883,Chieti,CH
Fraine,069034,291,Chieti,CH
Fresagrandinaria,069036,927,Chieti,CH
Frisa,069037,1685,Chieti,CH
Furci,069038,870,Chieti,CH
Gamberale,069039,294,Chieti,CH
Gessopalena,069040,1311,Chieti,CH
Gissi,069041,2642,Chieti,CH
Giuliano Teatino,069042,1198,Chieti,CH
Binetto,072008,2214,Bari,BA
Tavenna,070077,640,Campobasso,CB
Torella del Sannio,070079,727,Campobasso,CB
Toro,070080,1328,Campobasso,CB
Trivento,070081,4570,Campobasso,CB
Tufara,070082,832,Campobasso,CB
Ururi,070083,2578,Campobasso,CB
Vinchiaturo,070084,3319,Campobasso,CB
Accadia,071001,2277,Foggia,FG
San Vincenzo Valle Roveto,066092,2215,L'Aquila,AQ
Scanno,066093,1762,L'Aquila,AQ
Scontrone,066094,544,L'Aquila,AQ
Scoppito,066095,3812,L'Aquila,AQ
Scurcola Marsicana,066096,2781,L'Aquila,AQ
Secinaro,066097,331,L'Aquila,AQ
Guilmi,069044,420,Chieti,CH
Lama dei Peligni,069045,1134,Chieti,CH
Lentella,069047,656,Chieti,CH
Lettopalena,069048,329,Chieti,CH
Liscia,069049,678,Chieti,CH
Miglianico,069050,4776,Chieti,CH
Montazzoli,069051,907,Chieti,CH
Monteferrante,069052,118,Chieti,CH
Montelapiano,069053,82,Chieti,CH
Alberona,071002,902,Foggia,FG
Anzano di Puglia,071003,1185,Foggia,FG
Biccari,071006,2696,Foggia,FG
Tione degli Abruzzi,066100,285,L'Aquila,AQ
Tornimparte,066101,3024,L'Aquila,AQ
Villalago,066103,529,L'Aquila,AQ
Villa Santa Lucia degli Abruzzi,066104,93,L'Aquila,AQ
Villa Sant'Angelo,066105,462,L'Aquila,AQ
Villavallelonga,066106,870,L'Aquila,AQ
Villetta Barrea,066107,617,L'Aquila,AQ
Vittorito,066108,846,L'Aquila,AQ
Ancarano,067002,1855,Teramo,TE
Arsita,067003,798,Teramo,TE
Montenerodomo,069054,640,Chieti,CH
Monteodorisio,069055,2428,Chieti,CH
Mozzagrogna,069056,2458,Chieti,CH
Orsogna,069057,3746,Chieti,CH
Paglieta,069059,4208,Chieti,CH
Palena,069060,1292,Chieti,CH
Palmoli,069061,843,Chieti,CH
Palombaro,069062,976,Chieti,CH
Pennadomo,069063,219,Chieti,CH
Bovino,071007,3138,Foggia,FG
Candela,071009,2732,Foggia,FG
Carlantino,071011,916,Foggia,FG
Carpino,071012,4008,Foggia,FG
Casalnuovo Monterotaro,071013,1434,Foggia,FG
Casalvecchio di Puglia,071014,1763,Foggia,FG
Basciano,067005,2362,Teramo,TE
Bisenti,067007,1798,Teramo,TE
Canzano,067009,1831,Teramo,TE
Castel Castagna,067010,457,Teramo,TE
Castelli,067012,1025,Teramo,TE
Pennapiedimonte,069064,445,Chieti,CH
Perano,069065,1564,Chieti,CH
Pizzoferrato,069066,1006,Chieti,CH
Poggiofiorito,069067,835,Chieti,CH
Pollutri,069068,2131,Chieti,CH
Pretoro,069069,871,Chieti,CH
Quadri,069070,747,Chieti,CH
Rapino,069071,1258,Chieti,CH
Ripa Teatina,069072,4060,Chieti,CH
Roccamontepiano,069073,1635,Chieti,CH
Rocca San Giovanni,069074,2301,Chieti,CH
Roccascalegna,069075,1143,Chieti,CH
Poggiorsini,072034,1352,Bari,BA
Castelluccio dei Sauri,071015,2097,Foggia,FG
Castelluccio Valmaggiore,071016,1253,Foggia,FG
Castelnuovo della Daunia,071017,1359,Foggia,FG
Celenza Valfortore,071018,1485,Foggia,FG
Celle di San Vito,071019,164,Foggia,FG
Castiglione Messer Raimondo,067013,2185,Teramo,TE
Castilenti,067014,1435,Teramo,TE
Cellino Attanasio,067015,2400,Teramo,TE
Cermignano,067016,1576,Teramo,TE
Civitella del Tronto,067017,4787,Teramo,TE
Colledara,067018,2160,Teramo,TE
Colonnella,067019,3660,Teramo,TE
Controguerra,067020,2302,Teramo,TE
Roccaspinalveti,069076,1229,Chieti,CH
Roio del Sangro,069077,94,Chieti,CH
Rosello,069078,218,Chieti,CH
San Buono,069079,911,Chieti,CH
San Giovanni Lipioni,069080,149,Chieti,CH
San Martino sulla Marrucina,069082,897,Chieti,CH
Santa Maria Imbaro,069084,2074,Chieti,CH
Sant'Eusanio del Sangro,069085,2357,Chieti,CH
Scerni,069087,3127,Chieti,CH
Chieuti,071021,1618,Foggia,FG
Deliceto,071022,3671,Foggia,FG
Faeto,071023,614,Foggia,FG
Cortino,067022,606,Teramo,TE
Crognaleto,067023,1169,Teramo,TE
Fano Adriano,067024,272,Teramo,TE
Isola del Gran Sasso d'Italia,067026,4621,Teramo,TE
Montefino,067027,983,Teramo,TE
Morro d'Oro,067029,3603,Teramo,TE
Schiavi di Abruzzo,069088,732,Chieti,CH
Taranta Peligna,069089,352,Chieti,CH
Tollo,069090,4031,Chieti,CH
Torino di Sangro,069091,3006,Chieti,CH
Tornareccio,069092,1726,Chieti,CH
Torrebruna,069093,776,Chieti,CH
Torrevecchia Teatina,069094,4222,Chieti,CH
Torricella Peligna,069095,1252,Chieti,CH
Treglio,069096,1689,Chieti,CH
Tufillo,069097,376,Chieti,CH
Vacri,069098,1609,Chieti,CH
Ischitella,071025,4373,Foggia,FG
Isole Tremiti,071026,458,Foggia,FG
Penna Sant'Andrea,067033,1708,Teramo,TE
Pietracamela,067034,240,Teramo,TE
Rocca Santa Maria,067036,497,Teramo,TE
Moscufo,068025,3146,Pescara,PE
Nocciano,068026,1813,Pescara,PE
Pescosansonesco,068029,486,Pescara,PE
Picciano,068031,1327,Pescara,PE
Pietranico,068032,467,Pescara,PE
Popoli,068033,4880,Pescara,PE
Roccamorice,068034,937,Pescara,PE
Jelsi,070030,1731,Campobasso,CB
Limosano,070032,718,Campobasso,CB
Lucito,070033,630,Campobasso,CB
Lupara,070034,451,Campobasso,CB
Macchia Valfortore,070035,515,Campobasso,CB
Torricella,073028,4190,Taranto,TA
Sant'Agata di Puglia,071052,1886,Foggia,FG
Rosciano,068035,3998,Pescara,PE
Salle,068036,282,Pescara,PE
Sant'Eufemia a Maiella,068037,257,Pescara,PE
San Valentino in Abruzzo Citeriore,068038,1904,Pescara,PE
Scafa,068039,3599,Pescara,PE
Serramonacesca,068040,539,Pescara,PE
Tocco da Casauria,068042,2488,Pescara,PE
Torre de' Passeri,068043,2994,Pescara,PE
Turrivalignani,068044,811,Pescara,PE
Vicoli,068045,383,Pescara,PE
Villa Celiera,068046,615,Pescara,PE
Altino,069001,3119,Chieti,CH
Mafalda,070036,1152,Campobasso,CB
Matrice,070037,1071,Campobasso,CB
Mirabello Sannitico,070038,2123,Campobasso,CB
Molise,070039,158,Campobasso,CB
