COMUNE,PRO_COM_T,Abitanti,COD_PROV,CC_UTS,den_uts,sigla
Osasco,"001173","1168","1","0",Torino,TO
Osasio,"001174","911","1","0",Torino,TO
Oulx,"001175","3316","1","0",Torino,TO
Ozegna,"001176","1192","1","0",Torino,TO
Palazzo Canavese,"001177","852","1","0",Torino,TO
Pancalieri,"001178","2046","1","0",Torino,TO
Parella,"001179","417","1","0",Torino,TO
Verrua Savoia,"001294","1389","1","0",Torino,TO
Vestignè,"001295","802","1","0",Torino,TO
Vialfrè,"001296","248","1","0",Torino,TO
Vidracco,"001298","513","1","0",Torino,TO
Villafranca Piemonte,"001300","4602","1","0",Torino,TO
Villanova Canavese,"001301","1214","1","0",Torino,TO
Villarbasse,"001302","3482","1","0",Torino,TO
Villar Dora,"001303","2847","1","0",Torino,TO
Villareggia,"001304","1010","1","0",Torino,TO
Villar Focchiardo,"001305","1940","1","0",Torino,TO
Villar Pellice,"001306","1056","1","0",Torino,TO
Villar Perosa,"001307","3990","1","0",Torino,TO
Villastellone,"001308","4624","1","0",Torino,TO
Virle Piemonte,"001310","1152","1","0",Torino,TO
Vische,"001311","1226","1","0",Torino,TO
Vistrorio,"001312","519","1","0",Torino,TO
Viù,"001313","1021","1","0",Torino,TO
Val di Chy,"001317","1276","1","0",Torino,TO
Valchiusa,"001318","1026","1","0",Torino,TO
Alagna Valsesia,"002002","727","2","0",Vercelli,VC
Albano Vercellese,"002003","309","2","0",Vercelli,VC
Alice Castello,"002004","2544","2","0",Vercelli,VC
Arborio,"002006","863","2","0",Vercelli,VC
Asigliano Vercellese,"002007","1420","2","0",Vercelli,VC
Balmuccia,"002008","115","2","0",Vercelli,VC
Balocco,"002009","217","2","0",Vercelli,VC
Bianzè,"002011","1876","2","0",Vercelli,VC
Boccioleto,"002014","170","2","0",Vercelli,VC
Borgo d'Ale,"002015","2320","2","0",Vercelli,VC
Borgo Vercelli,"002017","2211","2","0",Vercelli,VC
Buronzo,"002021","849","2","0",Vercelli,VC
Campertogno,"002025","230","2","0",Vercelli,VC
Carcoforo,"002029","74","2","0",Vercelli,VC
Caresana,"002030","1038","2","0",Vercelli,VC
Caresanablot,"002031","1109","2","0",Vercelli,VC
San Giorgio Canavese,"001244","2565","1","0",Torino,TO
San Giorio di Susa,"001245","971","1","0",Torino,TO
San Giusto Canavese,"001246","3312","1","0",Torino,TO
San Martino Canavese,"001247","807","1","0",Torino,TO
San Pietro Val Lemina,"001250","1426","1","0",Torino,TO
San Ponso,"001251","263","1","0",Torino,TO
San Raffaele Cimena,"001252","3107","1","0",Torino,TO
San Sebastiano da Po,"001253","1895","1","0",Torino,TO
San Secondo di Pinerolo,"001254","3645","1","0",Torino,TO
Sant'Ambrogio di Torino,"001255","4711","1","0",Torino,TO
Sant'Antonino di Susa,"001256","4197","1","0",Torino,TO
Sauze di Cesana,"001258","245","1","0",Torino,TO
Sauze d'Oulx,"001259","1090","1","0",Torino,TO
Scalenghe,"001260","3267","1","0",Torino,TO
Scarmagno,"001261","826","1","0",Torino,TO
Sciolze,"001262","1455","1","0",Torino,TO
Sestriere,"001263","922","1","0",Torino,TO
Settimo Rottaro,"001264","468","1","0",Torino,TO
Settimo Vittone,"001266","1542","1","0",Torino,TO
Sparone,"001267","962","1","0",Torino,TO
Strambinello,"001268","270","1","0",Torino,TO
Tavagnasco,"001271","774","1","0",Torino,TO
Torrazza Piemonte,"001273","2974","1","0",Torino,TO
Torre Canavese,"001274","604","1","0",Torino,TO
Torre Pellice,"001275","4543","1","0",Torino,TO
Trana,"001276","3814","1","0",Torino,TO
Traversella,"001278","322","1","0",Torino,TO
Traves,"001279","524","1","0",Torino,TO
Usseaux,"001281","189","1","0",Torino,TO
Usseglio,"001282","200","1","0",Torino,TO
Vaie,"001283","1418","1","0",Torino,TO
Val della Torre,"001284","3960","1","0",Torino,TO
Valgioie,"001285","928","1","0",Torino,TO
Vallo Torinese,"001286","792","1","0",Torino,TO
Valperga,"001287","3026","1","0",Torino,TO
Valprato Soana,"001288","95","1","0",Torino,TO
Varisella,"001289","851","1","0",Torino,TO
Vauda Canavese,"001290","1452","1","0",Torino,TO
Venaus,"001291","880","1","0",Torino,TO
Cellarengo,"005033","709","5","0",Asti,AT
Celle Enomondo,"005034","470","5","0",Asti,AT
Cerreto d'Asti,"005035","221","5","0",Asti,AT
Cerro Tanaro,"005036","594","5","0",Asti,AT
Cessole,"005037","368","5","0",Asti,AT
Chiusano d'Asti,"005038","229","5","0",Asti,AT
Cinaglio,"005039","450","5","0",Asti,AT
Cisterna d'Asti,"005040","1222","5","0",Asti,AT
